title, date, username, lat, lng, description
ZOO Ljubljana, Reviewed August 3 2013, Frequent-Travel-MT, 46.054249, 14.471506, Zoos
Museum of Illusions - Ljubljana, Reviewed March 3 2017, teta_maja, 46.049751, 14.503541, Children's Museums
Gornji Trg, Reviewed May 30 2016, Orfeo I, 46.046570, 14.507704, Points of Interest & Landmarks
Preseren Square, Reviewed January 16 2017, hbg100, 46.051296, 14.506147, Points of Interest & Landmarks
Vodnik Square (Vodnikov trg), Reviewed October 2 2017, Marco P, 46.051079, 14.509243, Monuments & Statues
Triple Bridge (Tromostovje), Reviewed October 20 2015, Inscribe, 46.051815, 14.506286, Bridges
Ljubljana Castle, Reviewed July 11 2015, Dhaone, 46.048809, 14.508312, Castles
Ljubljana Old Town, Reviewed June 2 2016, maher629, 46.051033, 14.506317, Neighborhoods
Ljubljana Old Town, Reviewed August 19 2013, Veronica M, 46.051033, 14.506317, Neighborhoods
Cathedral of St. Nicholas (Stolnica Sv. Nikolaja), Reviewed October 12 2015, global-traveller48, 46.050743, 14.508185, Sacred & Religious Sites
Mestni Trg, Reviewed February 12 2016, Jana N, 46.049423, 14.506438, Points of Interest & Landmarks
Ljubljana Old Town, Reviewed August 7 2017, Nell A, 46.051033, 14.506317, Neighborhoods
Ljubljana Old Town, Reviewed December 30 2015, marzia123, 46.051033, 14.506317, Neighborhoods
Museum of Illusions - Ljubljana, Reviewed June 30 2017, Kristina W, 46.049751, 14.503541, Children's Museums
Ljubljana Old Town, Reviewed July 11 2017, Maria G, 46.051033, 14.506317, Neighborhoods
Ljubljana Old Town, Reviewed December 16 2012, Katja D, 46.051033, 14.506317, Neighborhoods
Tivoli Park, Reviewed April 13 2016, candy579, 46.087688, 14.473920, Parks
Ljubljana Old Town, Reviewed 2 weeks ago, Jozef C, 46.051033, 14.506317, Neighborhoods
Ljubljana Castle, Reviewed May 7 2016, ???? ?, 46.048809, 14.508312, Castles
Ljubljana Old Town, Reviewed November 19 2015, gianfranco g, 46.051033, 14.506317, Neighborhoods
Cathedral of St. Nicholas (Stolnica Sv. Nikolaja), Reviewed 4 weeks ago, r0ra13, 46.050743, 14.508185, Sacred & Religious Sites
Ljubljana Old Town, Reviewed October 6 2017, Luc V, 46.051033, 14.506317, Neighborhoods
Dragon Bridge (Zmajski Most), Reviewed December 22 2014, tscanada, 46.052151, 14.510453, Bridges
Ljubljana Castle, Reviewed June 16 2016, theandorser, 46.048809, 14.508312, Castles
Triple Bridge (Tromostovje), Reviewed September 6 2017, Peter G, 46.051815, 14.506286, Bridges
Ljubljana Castle Funicular, Reviewed August 7 2017, Andrew G, 46.049046, 14.508827, Castles
Triple Bridge (Tromostovje), Reviewed November 8 2016, Cognaman, 46.051815, 14.506286, Bridges
Cathedral of St. Nicholas (Stolnica Sv. Nikolaja), Reviewed September 18 2016, 545medva, 46.050743, 14.508185, Sacred & Religious Sites
Ljubljana Old Town, Reviewed December 17 2016, sahizer, 46.051033, 14.506317, Neighborhoods
Shoemaker's Bridge (Cevljarski Most), Reviewed July 1 2016, PavlosKuopio, 46.048454, 14.505839, Bridges
Tivoli Park, Reviewed September 1 2014, Yossi H, 46.087688, 14.473920, Parks
Ljubljana Old Town, Reviewed June 10 2016, PRRMorais, 46.051033, 14.506317, Neighborhoods
Krizevniska ulica, Reviewed October 15 2016, Rita_G_64, 46.046440, 14.504530, Points of Interest & Landmarks
Tivoli Park, Reviewed July 10 2016, Lisanne v, 46.087688, 14.473920, Parks
Preseren Square, Reviewed November 11 2015, raksak2015, 46.051296, 14.506147, Points of Interest & Landmarks
Preseren Square, Reviewed August 20 2012, Fanina24, 46.051296, 14.506147, Points of Interest & Landmarks
Tivoli Park, Reviewed October 25 2015, Karlijn W, 46.087688, 14.473920, Parks
Museum of Illusions - Ljubljana, Reviewed April 9 2017, Tierra M, 46.049751, 14.503541, Children's Museums
Vodnik Square (Vodnikov trg), Reviewed March 14 2016, attillathehun, 46.051079, 14.509243, Monuments & Statues
Ljubljana Old Town, Reviewed October 19 2013, MelbSur, 46.051033, 14.506317, Neighborhoods
Ljubljana Castle, Reviewed January 5 2017, PaoloRoma, 46.048809, 14.508312, Castles
Preseren Square, Reviewed June 17 2016, Bernard Sanet d, 46.051296, 14.506147, Points of Interest & Landmarks
Skyscraper (Neboticnik), Reviewed January 9 2017, aaaakinoM, 46.053196, 14.503623, Architectural Buildings
Dragon Bridge (Zmajski Most), Reviewed May 21 2016, ADNA C, 46.052151, 14.510453, Bridges
Tivoli Park, Reviewed June 27 2016, Annarwil, 46.087688, 14.473920, Parks
Ljubljana Castle, Reviewed August 30 2015, chgKey, 46.048809, 14.508312, Castles
Cathedral of St. Nicholas (Stolnica Sv. Nikolaja), Reviewed September 6 2015, Xavier V, 46.050743, 14.508185, Sacred & Religious Sites
Dragon Bridge (Zmajski Most), Reviewed October 4 2017, AKARRR, 46.052151, 14.510453, Bridges
Ljubljana Castle, Reviewed September 19 2015, mik-kbh, 46.048809, 14.508312, Castles
Ljubljana Castle, Reviewed August 30 2017, Chris H, 46.048809, 14.508312, Castles
Ljubljana Castle, Reviewed August 29 2015, ninnna, 46.048809, 14.508312, Castles
Dragon Bridge (Zmajski Most), Reviewed February 22 2013, Melinda M, 46.052151, 14.510453, Bridges
House of Experiments - Hisa eksperimentov, Reviewed July 7 2017, clirker, 46.052608, 14.510880, Children's Museums
Republic Square (Trg Republike), Reviewed October 1 2017, mariastepietro, 46.051010, 14.500815, Points of Interest & Landmarks
Butcher's Bridge, Reviewed May 2 2016, redsoxbernie, 46.051743, 14.508775, Bridges
Ljubljana Castle, Reviewed April 27 2016, Marina F, 46.048809, 14.508312, Castles
Ljubljana Castle, Reviewed June 7 2017, Aledevi86, 46.048809, 14.508312, Castles
Metelkova, Reviewed June 25 2016, piggy99, 46.056568, 14.516992, Neighborhoods
Ljubljana Castle, Reviewed July 10 2017, Rick G, 46.048809, 14.508312, Castles
Cathedral of St. Nicholas (Stolnica Sv. Nikolaja), Reviewed December 20 2016, Alberto S, 46.050743, 14.508185, Sacred & Religious Sites
Ljubljana Castle, Reviewed March 23 2014, nicola g, 46.048809, 14.508312, Castles
Butcher's Bridge, Reviewed March 31 2012, Spoonfeeding, 46.051743, 14.508775, Bridges
Triple Bridge (Tromostovje), Reviewed August 25 2014, Gabriele A, 46.051815, 14.506286, Bridges
Triple Bridge (Tromostovje), Reviewed May 21 2016, Michael F, 46.051815, 14.506286, Bridges
Cathedral of St. Nicholas (Stolnica Sv. Nikolaja), Reviewed December 9 2013, Sallymp, 46.050743, 14.508185, Sacred & Religious Sites
Ljubljana Old Town, Reviewed October 23 2016, _nykanen_timo, 46.051033, 14.506317, Neighborhoods
Ljubljana Castle, Reviewed September 26 2015, Josh R, 46.048809, 14.508312, Castles
Dragon Bridge (Zmajski Most), Reviewed September 14 2015, Malillysr, 46.052151, 14.510453, Bridges
ZOO Ljubljana, Reviewed January 28 2017, Alex P, 46.054249, 14.471506, Zoos
Vodnik Square (Vodnikov trg), Reviewed December 30 2014, Ali_Kijol, 46.051079, 14.509243, Monuments & Statues
Ljubljana Old Town, Reviewed January 7 2016, capeintl, 46.051033, 14.506317, Neighborhoods
Ljubljana Castle, Reviewed September 9 2017, Alex F, 46.048809, 14.508312, Castles
Ljubljana Castle Funicular, Reviewed April 26 2015, Paoletta d, 46.049046, 14.508827, Castles
Preseren Square, Reviewed August 17 2015, bloom75, 46.051296, 14.506147, Points of Interest & Landmarks
Triple Bridge (Tromostovje), Reviewed May 1 2017, Hae Y, 46.051815, 14.506286, Bridges
River Ljubljanica Kanal, Reviewed July 16 2017, suffix, 46.050674, 14.505830, Bodies of Water
Preseren Square, Reviewed October 4 2013, kooss, 46.051296, 14.506147, Points of Interest & Landmarks
Vodnik Square (Vodnikov trg), Reviewed August 22 2015, riripan, 46.051079, 14.509243, Monuments & Statues
Cathedral of St. Nicholas (Stolnica Sv. Nikolaja), Reviewed December 29 2015, Emanuele R, 46.050743, 14.508185, Sacred & Religious Sites
Ljubljana Castle, Reviewed December 6 2015, jdd7682, 46.048809, 14.508312, Castles
Franciscan Church (Franciskanska cerkev), Reviewed August 31 2016, StefanoBarisone, 46.051380, 14.506208, Sacred & Religious Sites
Butcher's Bridge, Reviewed 4 weeks ago, Marek S, 46.051743, 14.508775, Bridges
Ljubljana Castle, Reviewed August 9 2017, tomdaq, 46.048809, 14.508312, Castles
Ljubljana Old Town, Reviewed March 29 2013, IVAN-PETRIC, 46.051033, 14.506317, Neighborhoods
Ljubljana Castle Funicular, Reviewed September 29 2017, Giraffa_Vagabonda, 46.049046, 14.508827, Castles
Triple Bridge (Tromostovje), Reviewed December 13 2015, Marina D, 46.051815, 14.506286, Bridges
Ljubljana Old Town, Reviewed August 27 2017, Roberta B, 46.051033, 14.506317, Neighborhoods
Union Experience - Union Brewery, Reviewed May 20 2017, Aarne L, 46.059261, 14.499269, Breweries
Triple Bridge (Tromostovje), Reviewed November 13 2014, Nana657, 46.051815, 14.506286, Bridges
Old Square (Stari trg), Reviewed July 1 2015, Brookspal, 46.047188, 14.507991, Points of Interest & Landmarks
Ljubljana Castle, Reviewed August 25 2017, trip-and-tricks-74, 46.048809, 14.508312, Castles
Ljubljana Old Town, Reviewed August 21 2016, William J, 46.051033, 14.506317, Neighborhoods
Museum of Illusions - Ljubljana, Reviewed September 20 2016, Ana A, 46.049751, 14.503541, Children's Museums
Triple Bridge (Tromostovje), Reviewed April 12 2014, Fanafa, 46.051815, 14.506286, Bridges
Preseren Square, Reviewed February 16 2015, PAULO C, 46.051296, 14.506147, Points of Interest & Landmarks
Tivoli Park, Reviewed January 2 2016, Elisa S, 46.087688, 14.473920, Parks
Ljubljana Castle, Reviewed October 26 2015, isis V, 46.048809, 14.508312, Castles
Ljubljana Castle, Reviewed December 30 2016, Barbara M, 46.048809, 14.508312, Castles
Preseren Square, Reviewed September 21 2013, Peter G, 46.051296, 14.506147, Points of Interest & Landmarks
Ljubljana Old Town, Reviewed August 12 2017, flupke01, 46.051033, 14.506317, Neighborhoods
Tivoli Park, Reviewed March 22 2017, thomaskK7929XB, 46.087688, 14.473920, Parks
Ljubljana Old Town, Reviewed October 24 2016, vas57, 46.051033, 14.506317, Neighborhoods
Ljubljana Old Town, Reviewed December 6 2013, Bianconero70, 46.051033, 14.506317, Neighborhoods
Cathedral of St. Nicholas (Stolnica Sv. Nikolaja), Reviewed September 13 2015, tarad32530, 46.050743, 14.508185, Sacred & Religious Sites
Ljubljana Old Town, Reviewed July 25 2016, France M, 46.051033, 14.506317, Neighborhoods
Franciscan Church (Franciskanska cerkev), Reviewed May 23 2016, kaz017, 46.051380, 14.506208, Sacred & Religious Sites
Ljubljana Castle Funicular, Reviewed February 11 2016, roby19985, 46.049046, 14.508827, Castles
Ljubljana Old Town, Reviewed August 31 2017, Laurenmaree22, 46.051033, 14.506317, Neighborhoods
Ljubljana Castle, Reviewed March 17 2013, Irelandlife, 46.048809, 14.508312, Castles
Ljubljana Castle, Reviewed July 12 2015, Ale� P, 46.048809, 14.508312, Castles
Preseren Square, Reviewed January 30 2016, Lilia C, 46.051296, 14.506147, Points of Interest & Landmarks
Dragon Bridge (Zmajski Most), Reviewed July 30 2016, lottamatilda, 46.052151, 14.510453, Bridges
Ljubljana Castle, Reviewed May 6 2013, camamani, 46.048809, 14.508312, Castles
Triple Bridge (Tromostovje), Reviewed October 10 2015, Rita_G_64, 46.051815, 14.506286, Bridges
Ljubljana Castle Funicular, Reviewed November 17 2015, stibo60, 46.049046, 14.508827, Castles
Tivoli Park, Reviewed October 15 2012, Piotr G, 46.087688, 14.473920, Parks
River Ljubljanica Kanal, Reviewed September 15 2016, Enomis21878, 46.050674, 14.505830, Bodies of Water
Ljubljana Old Town, Reviewed September 27 2017, LucyKate, 46.051033, 14.506317, Neighborhoods
Gornji Trg, Reviewed September 8 2017, Johnny D, 46.046570, 14.507704, Points of Interest & Landmarks
Ljubljana Castle, Reviewed January 17 2017, Keld L, 46.048809, 14.508312, Castles
Triple Bridge (Tromostovje), Reviewed October 26 2015, Ekkyca, 46.051815, 14.506286, Bridges
Triple Bridge (Tromostovje), Reviewed July 19 2015, lcgomexx, 46.051815, 14.506286, Bridges
Ljubljana Old Town, Reviewed June 6 2017, a b, 46.051033, 14.506317, Neighborhoods
Triple Bridge (Tromostovje), Reviewed July 30 2015, FannyCativa, 46.051815, 14.506286, Bridges
Ljubljana Castle, Reviewed September 6 2017, Ciril_K, 46.048809, 14.508312, Castles
Metelkova, Reviewed July 6 2015, James K, 46.056568, 14.516992, Neighborhoods
Ljubljana Old Town, Reviewed September 26 2016, kaibab1, 46.051033, 14.506317, Neighborhoods
Union Experience - Union Brewery, Reviewed January 20 2016, Matej H, 46.059261, 14.499269, Breweries
Triple Bridge (Tromostovje), Reviewed July 8 2015, 246ken-bo, 46.051815, 14.506286, Bridges
Museum of Illusions - Ljubljana, Reviewed April 27 2017, Emanuel D, 46.049751, 14.503541, Children's Museums
Old Square (Stari trg), Reviewed May 1 2016, Aleksandar S, 46.047188, 14.507991, Points of Interest & Landmarks
Ljubljana Castle, Reviewed October 22 2016, 473tadejk, 46.048809, 14.508312, Castles
Triple Bridge (Tromostovje), Reviewed September 9 2015, rosaG5475BP, 46.051815, 14.506286, Bridges
Skyscraper (Neboticnik), Reviewed February 24 2016, PalermoEnza, 46.053196, 14.503623, Architectural Buildings
Dragon Bridge (Zmajski Most), Reviewed January 18 2012, adamandkaty, 46.052151, 14.510453, Bridges
Fountain of Three Carniolan Rivers (Vodnjak treh kranjskih rek), Reviewed October 6 2017, Linda B, 46.050117, 14.506958, Fountains
Triple Bridge (Tromostovje), Reviewed July 11 2017, Kevin L, 46.051815, 14.506286, Bridges
Ljubljana Old Town, Reviewed June 2 2013, Kiplynn S, 46.051033, 14.506317, Neighborhoods
Ljubljana Old Town, Reviewed August 16 2015, MicheleOneNapoli, 46.051033, 14.506317, Neighborhoods
Ljubljana Castle, Reviewed December 10 2015, danyC6tu, 46.048809, 14.508312, Castles
Ljubljana Castle, Reviewed September 18 2013, Lilian B, 46.048809, 14.508312, Castles
River Ljubljanica Kanal, Reviewed January 29 2017, HHCaptain, 46.050674, 14.505830, Bodies of Water
Ljubljana Old Town, Reviewed April 7 2015, HeliSven, 46.051033, 14.506317, Neighborhoods
Skyscraper (Neboticnik), Reviewed August 24 2016, Aleksandar S, 46.053196, 14.503623, Architectural Buildings
Triple Bridge (Tromostovje), Reviewed August 16 2017, RSarkari6, 46.051815, 14.506286, Bridges
Triple Bridge (Tromostovje), Reviewed August 19 2016, Lorenza B, 46.051815, 14.506286, Bridges
Metelkova, Reviewed May 17 2017, Semih Serhat K, 46.056568, 14.516992, Neighborhoods
Ljubljana Old Town, Reviewed June 8 2015, Willy K, 46.051033, 14.506317, Neighborhoods
Town Hall (Magistrat), Reviewed December 23 2014, Rita_G_64, 46.050060, 14.506863, Government Buildings
Triple Bridge (Tromostovje), Reviewed July 16 2016, Alokmili77, 46.051815, 14.506286, Bridges
Ljubljana Castle, Reviewed May 31 2017, Andrea G, 46.048809, 14.508312, Castles
Tivoli Park, Reviewed August 21 2012, angie59_12, 46.087688, 14.473920, Parks
Ljubljana Old Town, Reviewed June 9 2015, Rebby2014, 46.051033, 14.506317, Neighborhoods
Tivoli Park, Reviewed July 17 2017, Chris M, 46.087688, 14.473920, Parks
Cankarjev dom (Cultural and Congress Centre), Reviewed June 27 2017, Frida-SaoPaulo, 46.050385, 14.499185, Conference & Convention Centers
Ljubljana Castle, Reviewed August 4 2012, Bjorn69, 46.048809, 14.508312, Castles
Triple Bridge (Tromostovje), Reviewed July 16 2012, ACM42, 46.051815, 14.506286, Bridges
Ljubljana Castle, Reviewed August 27 2015, Geisa F, 46.048809, 14.508312, Castles
Town Hall (Magistrat), Reviewed May 22 2013, toniShanghai, 46.050060, 14.506863, Government Buildings
Preseren Square, Reviewed June 7 2016, Hanmin J, 46.051296, 14.506147, Points of Interest & Landmarks
Triple Bridge (Tromostovje), Reviewed January 21 2015, Maurizio G, 46.051815, 14.506286, Bridges
Dragon Bridge (Zmajski Most), Reviewed August 18 2016, MAIA78Venezia, 46.052151, 14.510453, Bridges
Preseren Square, Reviewed July 2 2013, 411Shirley, 46.051296, 14.506147, Points of Interest & Landmarks
Ljubljana Castle, Reviewed August 17 2016, Natasha_Var, 46.048809, 14.508312, Castles
Ljubljana Old Town, Reviewed July 15 2017, RoThiebaut, 46.051033, 14.506317, Neighborhoods
Slovene Ethnographic Museum, Reviewed February 16 2017, Jeffrey C, 46.054939, 14.515657, Specialty Museums
Preseren Square, Reviewed May 18 2017, ROBERTO C, 46.051296, 14.506147, Points of Interest & Landmarks
Shoemaker's Bridge (Cevljarski Most), Reviewed June 4 2012, MollyMilin, 46.048454, 14.505839, Bridges
Trnovo Bridge, Reviewed January 9 2016, tradIndy, 46.044067, 14.501323, Bridges
Metelkova, Reviewed June 28 2016, marfer321, 46.056568, 14.516992, Neighborhoods
Triple Bridge (Tromostovje), Reviewed August 17 2015, Johnny M, 46.051815, 14.506286, Bridges
Vodnik Square (Vodnikov trg), Reviewed April 2 2014, Kimberly W, 46.051079, 14.509243, Monuments & Statues
Ljubljana Castle, Reviewed September 27 2013, Alcapone4u, 46.048809, 14.508312, Castles
Shoemaker's Bridge (Cevljarski Most), Reviewed August 12 2012, langie k, 46.048454, 14.505839, Bridges
Cathedral of St. Nicholas (Stolnica Sv. Nikolaja), Reviewed October 20 2014, bubak, 46.050743, 14.508185, Sacred & Religious Sites
Old Square (Stari trg), Reviewed December 23 2014, Rita_G_64, 46.047188, 14.507991, Points of Interest & Landmarks
Triple Bridge (Tromostovje), Reviewed September 2 2015, Claudia I, 46.051815, 14.506286, Bridges
Triple Bridge (Tromostovje), Reviewed April 10 2015, wowitta, 46.051815, 14.506286, Bridges
Ljubljana Old Town, Reviewed September 25 2017, Ciais E, 46.051033, 14.506317, Neighborhoods
Franciscan Church (Franciskanska cerkev), Reviewed July 19 2014, kenbaines, 46.051380, 14.506208, Sacred & Religious Sites
Dragon Bridge (Zmajski Most), Reviewed May 6 2013, camamani, 46.052151, 14.510453, Bridges
Ljubljana Castle Funicular, Reviewed May 2 2015, FOFO75, 46.049046, 14.508827, Castles
Ljubljana Castle, Reviewed November 14 2015, GetsugaTensho, 46.048809, 14.508312, Castles
Ljubljana Castle, Reviewed July 2 2013, Agnotella, 46.048809, 14.508312, Castles
Dragon Bridge (Zmajski Most), Reviewed 4 weeks ago, Pekka P, 46.052151, 14.510453, Bridges
Ljubljana Castle, Reviewed August 27 2016, Heather A, 46.048809, 14.508312, Castles
Triple Bridge (Tromostovje), Reviewed May 5 2012, jdmiller83, 46.051815, 14.506286, Bridges
ZOO Ljubljana, Reviewed July 23 2016, Damaka01, 46.054249, 14.471506, Zoos
CityPark Shopping Center, Reviewed 3 weeks ago, reilly2010, 46.063591, 14.547510, Shopping Malls
Ljubljana Old Town, Reviewed April 28 2017, Celso A, 46.051033, 14.506317, Neighborhoods
River Ljubljanica Kanal, Reviewed August 23 2016, larinnnnn, 46.050674, 14.505830, Bodies of Water
Cathedral of St. Nicholas (Stolnica Sv. Nikolaja), Reviewed 5 weeks ago, mas416, 46.050743, 14.508185, Sacred & Religious Sites
Ljubljana Castle, Reviewed April 14 2017, Roberta W, 46.048809, 14.508312, Castles
Ljubljana Castle, Reviewed June 29 2013, 125Angie, 46.048809, 14.508312, Castles
Ljubljana Old Town, Reviewed September 8 2017, mg0rm1, 46.051033, 14.506317, Neighborhoods
Triple Bridge (Tromostovje), Reviewed August 25 2013, Tedbrett, 46.051815, 14.506286, Bridges
Ljubljana Old Town, Reviewed December 17 2016, Logistical, 46.051033, 14.506317, Neighborhoods
Triple Bridge (Tromostovje), Reviewed September 29 2015, Elena K, 46.051815, 14.506286, Bridges
Tivoli Park, Reviewed June 17 2012, Catherine W, 46.087688, 14.473920, Parks
Ljubljana Old Town, Reviewed July 28 2016, chris_reist_herum, 46.051033, 14.506317, Neighborhoods
Ljubljana Castle, Reviewed February 27 2016, Gillian B, 46.048809, 14.508312, Castles
Butcher's Bridge, Reviewed September 5 2015, Gabriela R, 46.051743, 14.508775, Bridges
Metelkova, Reviewed October 17 2016, ??? ?, 46.056568, 14.516992, Neighborhoods
Metelkova, Reviewed July 29 2015, Felix H, 46.056568, 14.516992, Neighborhoods
Triple Bridge (Tromostovje), Reviewed September 17 2015, chgKey, 46.051815, 14.506286, Bridges
Preseren Square, Reviewed August 19 2014, Mario F, 46.051296, 14.506147, Points of Interest & Landmarks
Ljubljana Castle, Reviewed 4 weeks ago, Rami S, 46.048809, 14.508312, Castles
Butcher's Bridge, Reviewed May 17 2017, TripstersCA, 46.051743, 14.508775, Bridges
Ljubljana Castle, Reviewed July 9 2017, Georgie C, 46.048809, 14.508312, Castles
Ljubljana Castle Funicular, Reviewed August 13 2016, spritz154, 46.049046, 14.508827, Castles
Ljubljana Old Town, Reviewed November 4 2012, Argillian, 46.051033, 14.506317, Neighborhoods
Ljubljana Old Town, Reviewed December 14 2015, angelo442015, 46.051033, 14.506317, Neighborhoods
Ljubljana Old Town, Reviewed June 15 2016, Thibault S, 46.051033, 14.506317, Neighborhoods
Ljubljana Old Town, Reviewed December 23 2014, Maurizio R, 46.051033, 14.506317, Neighborhoods
Dragon Bridge (Zmajski Most), Reviewed October 30 2016, Aprilianinor, 46.052151, 14.510453, Bridges
Metelkova, Reviewed April 11 2015, busybz, 46.056568, 14.516992, Neighborhoods
Ljubljana Old Town, Reviewed April 23 2014, Paula P, 46.051033, 14.506317, Neighborhoods
Dragon Bridge (Zmajski Most), Reviewed April 12 2015, PGavaia, 46.052151, 14.510453, Bridges
Triple Bridge (Tromostovje), Reviewed July 12 2010, Username_z, 46.051815, 14.506286, Bridges
Preseren Square, Reviewed August 6 2015, cuconio, 46.051296, 14.506147, Points of Interest & Landmarks
Preseren Square, Reviewed February 26 2012, AlexG1980, 46.051296, 14.506147, Points of Interest & Landmarks
River Ljubljanica Kanal, Reviewed August 18 2014, ?????? ?, 46.050674, 14.505830, Bodies of Water
River Ljubljanica Kanal, Reviewed July 15 2017, scvrose, 46.050674, 14.505830, Bodies of Water
Ljubljana Castle, Reviewed July 16 2015, zinniaqueen, 46.048809, 14.508312, Castles
Preseren Square, Reviewed August 3 2017, Steven S, 46.051296, 14.506147, Points of Interest & Landmarks
Ljubljana Old Town, Reviewed September 10 2016, Wants2beacat, 46.051033, 14.506317, Neighborhoods
Ljubljana Old Town, Reviewed August 12 2017, peki321, 46.051033, 14.506317, Neighborhoods
Ljubljana Castle Funicular, Reviewed November 16 2015, iwaida, 46.049046, 14.508827, Castles
Ljubljana Castle, Reviewed December 10 2015, buddytogo23, 46.048809, 14.508312, Castles
Ljubljana Castle, Reviewed October 1 2017, alexstar8a, 46.048809, 14.508312, Castles
Vodnik Square (Vodnikov trg), Reviewed June 25 2017, shari w, 46.051079, 14.509243, Monuments & Statues
House of Experiments - Hisa eksperimentov, Reviewed February 23 2016, Nikky1, 46.052608, 14.510880, Children's Museums
Gornji Trg, Reviewed January 6 2016, tradIndy, 46.046570, 14.507704, Points of Interest & Landmarks
Dragon Bridge (Zmajski Most), Reviewed May 31 2012, j a, 46.052151, 14.510453, Bridges
Ljubljana Old Town, Reviewed July 13 2016, ClarissaTL, 46.051033, 14.506317, Neighborhoods
Ljubljana Castle, Reviewed August 18 2014, Zinela C, 46.048809, 14.508312, Castles
Butcher's Bridge, Reviewed November 5 2012, Corifuny, 46.051743, 14.508775, Bridges
Ljubljana Old Town, Reviewed August 10 2016, Dindo59, 46.051033, 14.506317, Neighborhoods
Ljubljana Castle, Reviewed August 29 2014, Kinga S, 46.048809, 14.508312, Castles
Triple Bridge (Tromostovje), Reviewed July 13 2017, stevenenhilde, 46.051815, 14.506286, Bridges
City Museum of Ljubljana, Reviewed September 26 2015, Busydays, 46.046940, 14.504100, Specialty Museums
Preseren Square, Reviewed October 22 2015, ANDREA L, 46.051296, 14.506147, Points of Interest & Landmarks
Dragon Bridge (Zmajski Most), Reviewed October 23 2012, Kristin H, 46.052151, 14.510453, Bridges
Dragon Bridge (Zmajski Most), Reviewed August 20 2017, ?? ?, 46.052151, 14.510453, Bridges
Old Square (Stari trg), Reviewed November 26 2016, nryael, 46.047188, 14.507991, Points of Interest & Landmarks
Tivoli Park, Reviewed June 11 2016, Becky_PF, 46.087688, 14.473920, Parks
Ljubljana Old Town, Reviewed September 2 2017, Reiselust1970, 46.051033, 14.506317, Neighborhoods
Tivoli Park, Reviewed March 11 2016, h4unted, 46.087688, 14.473920, Parks
Ljubljana Old Town, Reviewed 5 days ago, Stefano B, 46.051033, 14.506317, Neighborhoods
Fountain of Three Carniolan Rivers (Vodnjak treh kranjskih rek), Reviewed June 27 2017, Frida-SaoPaulo, 46.050117, 14.506958, Fountains
Triple Bridge (Tromostovje), Reviewed July 21 2015, Harry_18_till_I_die, 46.051815, 14.506286, Bridges
