title, date, username, lat, lng, description
Ljubljana Old Town, Reviewed July 5 2015, ppv77, 46.051033, 14.506317, Neighborhoods
River Ljubljanica Kanal, Reviewed August 19 2015, Annemay S, 46.050674, 14.505830, Bodies of Water
Ljubljana Castle, Reviewed August 15 2017, A TripAdvisor China Member, 46.048809, 14.508312, Castles
Cankarjevo nabrezje, Reviewed February 14 2016, pontan420, 46.049709, 14.505584, Historic Walking Areas
Ljubljana Old Town, Reviewed July 4 2015, ItchyfeetCapeTown, 46.051033, 14.506317, Neighborhoods
Ljubljana Castle, Reviewed March 17 2014, Lilianrouth, 46.048809, 14.508312, Castles
Dragon Bridge (Zmajski Most), Reviewed April 9 2017, William L, 46.052151, 14.510453, Bridges
Ljubljana Castle, Reviewed December 20 2016, ???????? ?, 46.048809, 14.508312, Castles
Dragon Bridge (Zmajski Most), Reviewed October 16 2015, Ronan R, 46.052151, 14.510453, Bridges
Ljubljana Old Town, Reviewed October 4 2015, Elia72, 46.051033, 14.506317, Neighborhoods
Ljubljana Castle, Reviewed December 18 2015, Bas K, 46.048809, 14.508312, Castles
Ljubljana Castle, Reviewed August 17 2016, Massimiliano R, 46.048809, 14.508312, Castles
Metelkova, Reviewed April 25 2016, Nele M, 46.056568, 14.516992, Neighborhoods
Ljubljana Old Town, Reviewed March 3 2017, madaj, 46.051033, 14.506317, Neighborhoods
Town Hall (Magistrat), Reviewed August 29 2014, Kinga S, 46.050060, 14.506863, Government Buildings
Metelkova, Reviewed May 27 2014, AnaMNE1, 46.056568, 14.516992, Neighborhoods
Ljubljana Castle Funicular, Reviewed February 20 2016, pdxpoet, 46.049046, 14.508827, Castles
Ljubljana Castle, Reviewed August 9 2017, Ignazio C, 46.048809, 14.508312, Castles
Slovenian Philharmonic Hall (Slovenska Filharmonija), Reviewed January 3 2016, gianfranco g, 46.049671, 14.504570, Architectural Buildings
Preseren Square, Reviewed January 11 2017, nursebetty38, 46.051296, 14.506147, Points of Interest & Landmarks
Ljubljana Old Town, Reviewed June 12 2017, Gsi_12, 46.051033, 14.506317, Neighborhoods
Ljubljana Old Town, Reviewed November 23 2016, Osamanie, 46.051033, 14.506317, Neighborhoods
Tourist Information Centre Ljubljana, Reviewed April 13 2016, candy579, 46.051025, 14.506311, Visitor Centers
Fountain of Three Carniolan Rivers (Vodnjak treh kranjskih rek), Reviewed January 14 2017, kojikojiko, 46.050117, 14.506958, Fountains
Dragon Bridge (Zmajski Most), Reviewed September 4 2016, sergioanelli, 46.052151, 14.510453, Bridges
Ljubljana Castle, Reviewed October 21 2012, pitunaina, 46.048809, 14.508312, Castles
Cathedral of St. Nicholas (Stolnica Sv. Nikolaja), Reviewed May 6 2014, Remo_D_P, 46.050743, 14.508185, Sacred & Religious Sites
