address, lat, lng
Triple Bridge (Tromostovje) Ljubljana, 46.0511449, 14.506256600000029
Tivoli Park Ljubljana, 46.0547242, 14.494829200000027
Franciscan Church (Franciskanska cerkev) Ljubljana, 46.0517229, 14.506071700000007
Preseren Square Ljubljana, 46.0515696, 14.506244100000004
River Ljubljanica Kanal Ljubljana, 46.0105268, 14.464770600000065
Ljubljana Old Town Ljubljana, 46.0521098, 14.509190399999966
Metelkova Ljubljana, 46.0563594, 14.515778700000055
Cathedral of St. Nicholas (Stolnica Sv. Nikolaja) Ljubljana, 46.0507536, 14.508083599999964
Dragon Bridge (Zmajski Most) Ljubljana, 46.0518861, 14.510379300000068
Vodnik Square (Vodnikov trg) Ljubljana, 46.0507461, 14.509675300000026
Cankarjevo nabrezje Ljubljana, 46.0497344, 14.505630800000063
Ljubljana Castle Funicular Ljubljana, 46.050075, 14.509673199999952
Congress Square (Kongresni trg) Ljubljana, 46.0501911, 14.503766600000063
Mestni Trg Ljubljana, 46.0493671, 14.506409399999939
Sts. Cyril and Methodius Church Ljubljana, 46.0539366, 14.499356900000066
Old Square (Stari trg) Ljubljana, 46.0475396, 14.506272299999978
Museum of Illusions Ljubljana, 46.049623, 14.503403700000035
National Museum of Contemporary History (Muzej Novejse Zgodovine Slovenije) Ljubljana, 46.0590334, 14.49528680000003
Skyscraper (Neboticnik) Ljubljana, 46.0532605, 14.503647900000033
Tourist Information Centre Ljubljana Ljubljana, 46.0510381, 14.510393300000032
Central Market Ljubljana, 46.051399, 14.509745899999984
ZOO Ljubljana Ljubljana, 46.0527405, 14.472088100000065
Gornji Trg Ljubljana, 46.0461179, 14.508426500000041
Union Experience Ljubljana, 46.0598057, 14.49892890000001
Butcher's Bridge Ljubljana, 46.0516961, 14.508773900000051
Ljubljana Castle Ljubljana, 46.0488852, 14.508373799999958
National Museum of Slovenia Ljubljana, 46.051992, 14.499683000000005
Fountain of Three Carniolan Rivers (Vodnjak treh kranjskih rek) Ljubljana, 46.0500973, 14.507047599999964
Hauptmannova Hisa Ljubljana, 46.0569465, 14.505751499999974
Shoemaker's Bridge (Cevljarski Most) Ljubljana, 46.0484252, 14.505524499999979
Plecnik House Ljubljana, 46.0423824, 14.502374499999974
National and University Library Ljubljana, 46.0475198, 14.503967099999954
Slovenian Philharmonic Hall (Slovenska Filharmonija) Ljubljana, 46.04952249999999, 14.504651700000068
Opera Ljubljana, 46.052609, 14.500807099999975
Zale Cemetery Ljubljana, 46.0675, 14.528408200000058
House of Experiments - Hisa eksperimentov Ljubljana, 46.052616, 14.510880000000043
Town Hall (Magistrat) Ljubljana, 46.0498518, 14.50713440000004
