num, address, lat, lng
0: Triple Bridge (Tromostovje), 46.051613, 14.505963
1: Tivoli Park, 46.087688, 14.47392
2: Franciscan Church (Franciskanska cerkev), 46.051781, 14.50566
3: Preseren Square, 46.051311, 14.506111
4: River Ljubljanica Kanal, 46.050674, 14.50583
5: Ljubljana Old Town, 46.051033, 14.506317
6: Metelkova, 46.056606, 14.516983
7: Cathedral of St. Nicholas (Stolnica Sv. Nikolaja), 46.050911, 14.50871
8: Dragon Bridge (Zmajski Most), 46.054958, 14.511
9: Vodnik Square (Vodnikov trg), 46.051079, 14.509243
10: Cankarjevo nabrezje, 46.049709, 14.505584
11: Ljubljana Castle Funicular, 46.048779, 14.50891
12: Congress Square (Kongresni trg), 46.050247, 14.503598
13: Mestni Trg, 46.049381, 14.50645
14: Sts. Cyril and Methodius Church, 46.051079, 14.49836
15: Old Square (Stari trg), 46.046871, 14.50699
16: Museum of Illusions, 46.049751, 14.503541
17: National Museum of Contemporary History (Muzej Novejse Zgodovine Slovenije), 46.059364, 14.495503
18: Skyscraper (Neboticnik), 46.05323, 14.50362
19: Tourist Information Centre Ljubljana, 46.051025, 14.506311
20: Central Market, 46.05077, 14.50987
21: ZOO Ljubljana, 46.052769, 14.47215
22: Gornji Trg, 46.04657, 14.507704
23: Union Experience, 46.059719, 14.498941
24: Butcher's Bridge, 46.051819, 14.50818
25: Ljubljana Castle, 46.048779, 14.50891
26: National Museum of Slovenia, 46.052006, 14.499682
27: Fountain of Three Carniolan Rivers (Vodnjak treh kranjskih rek), 46.049381, 14.50645
28: Hauptmannova Hisa, 46.051311, 14.50601
29: Shoemaker's Bridge (Cevljarski Most), 46.048481, 14.50599
30: Plecnik House, 46.04229, 14.50238
31: National and University Library, 46.047668, 14.503983
32: Slovenian Philharmonic Hall (Slovenska Filharmonija), 46.04977, 14.50478
33: Opera, 46.052757, 14.500817
34: Zale Cemetery, 46.067551, 14.52842
35: House of Experiments - Hisa eksperimentov, 46.052608, 14.51088
36: Town Hall (Magistrat), 46.049831, 14.50693
37: Cooperative Business Bank, 46.052814, 14.506786
38: Railway Museum, 46.062695, 14.502625
39: Slovene Ethnographic Museum, 46.054939, 14.515657
40: National Gallery (Narodna Galerija), 46.054077, 14.500196
41: Minicity Ljubljana, 46.067627, 14.541853
42: Technical Museum of Slovenia, 45.946159, 14.33293
43: City Museum of Ljubljana, 46.04694, 14.5041
44: Ursuline Church of the Holy Trinity, 46.049881, 14.50229
45: Odprta kuhna, 46.051109, 14.5075
46: Modern Gallery (Moderna Galerija), 46.053028, 14.499041
47: Church of St. James, 46.046291, 14.50802
48: University Botanic Gardens Ljubljana, 46.039799, 14.51434
49: Monastery of the Holy Cross Summer Theater (Krizanke Poletno Gledalisce), 46.04686, 14.50379
