address, lat, lng
State Opera House, 48.203033, 16.369102
St. Peter's Church, 48.209621, 16.370331
Imperial Treasury of Vienna, 48.157749, 16.43643
MuseumsQuartier Wien, 48.203323, 16.358646
Leopold Museum, 48.202957, 16.358847
Kahlenberg, 48.267632, 16.2973
Volksgarten, 48.203369, 16.363859
Rathaus, 48.210732, 16.358101
Tiergarten Schoenbrunn - Zoo Vienna, 48.182499, 16.304443
The Vienna Philharmonic, 48.200466, 16.372211
Central Cemetery (Zentralfriedhof), 48.159592, 16.43178
Schonbrunner Gardens, 48.183338, 16.30019
Albertina, 48.204678, 16.368317
Natural History Museum (Naturhistorisches Museum), 48.204929, 16.360266
Rathausplatz, 48.210556, 16.359039
Church of the Jesuits, 48.208759, 16.377649
State Hall of the Austrian National Library, 48.206268, 16.366863
Vienna U-Bahn, 48.185829, 16.31991
Kirche am Steinhof, 48.207111, 16.28042
The Third Man Museum, 48.196373, 16.362278
Kunsthistorisches Museum, 48.203995, 16.361427
St. Stephen's Cathedral, 48.208012, 16.372829
Belvedere Palace Museum, 48.191566, 16.380894
Imperial Palace (Hofburg), 48.207874, 16.366272
Schonbrunn Palace, 48.185135, 16.312593
Historic Center of Vienna, 48.208591, 16.369694
Ringstrasse, 48.211807, 16.361113
Karlskirche, 48.198311, 16.37195
Christmas Market on Rathausplatz, 48.210556, 16.35976
Parliament Building, 48.207981, 16.359159
Imperial Carriage Museum Vienna, 48.186508, 16.30978
Graben and Kohlmarkt, 48.207729, 16.372721
Stephansplatz, 48.208172, 16.37393
Museum of Military History, 48.18433, 16.388767
Maria-Theresien-Platz, 48.20454, 16.36087
Technisches Museum, 48.190655, 16.317886
Musikverein, 48.200554, 16.372602
Minoritenkirche, 48.209332, 16.363729
Kunst Haus Wien - Museum Hundertwasser, 48.210991, 16.39333
Kapuziner Crypt (Kapuzinergruft), 48.20554, 16.36993
MAK - Austrian Museum of Applied Arts / Contemporary Art, 48.207672, 16.381607
St. Anna's Church, 48.204342, 16.372089
Neue Burg, 48.205528, 16.364809
Vienna Woods, 48.27446, 16.336866
Haus des Meeres - Aqua Terra Zoo, 48.197754, 16.353146
Vienna Pass, 48.208115, 16.366459
Spittelberg Christmas Market, 48.202869, 16.355261
Volksoper, 48.224438, 16.350092
Michaelerplatz, 48.20808, 16.366627
Gloriette, 48.178299, 16.30875
Universitat Wien, 48.213009, 16.360861
Lainzer Tiergarten, 48.263512, 16.444256
Schoenbrunn Palace Christmas Market, 48.173489, 16.31288
Donaupark, 48.238529, 16.41692
Dominican Church, 48.208912, 16.378824
Votivkirche, 48.215549, 16.35894
Prater, 48.212944, 16.380688
Kaerntnerstrasse, 48.204361, 16.37059
Maria Theresia Denkmal, 48.204201, 16.35969
Hundertwasserhaus, 48.207336, 16.394293
Stadtpark, 48.205505, 16.380468
Danube Tower, 48.24115, 16.404591
Haus der Musik, 48.203835, 16.373022
Burggarten, 48.204227, 16.365692
Judenplatz Holocaust Memorial, 48.211922, 16.36924
Sisi Museum, 48.207592, 16.365629
Augustinerkirche, 48.20536, 16.36795
Plague Column (Pestsaule), 48.208717, 16.369795
Mariahilfer Strasse, 48.200726, 16.35766
Karlsplatz, 48.20681, 16.354389
City Airport Train, 48.20797, 16.386408
Wien Hauptbahnhof Sud, 48.185074, 16.376684
Academy of Fine Arts (Akademie der bildenden Kunste), 48.20163, 16.365231
Kaiserappartements, 48.207802, 16.36672
Burgtheater, 48.209568, 16.361116
Strauss Monument, 48.20647, 16.382629
Hofmobiliendepot (Imperial Furniture Collection), 48.198357, 16.346531
Botanischer Garten (Botanical Garden of the University of Vienna), 48.195202, 16.383699
St. Michael's Church, 48.20821, 16.367041
The Strudelshow, 48.122318, 16.30455
Griechenkirche zur heiligen Dreifaltigkeit, 48.210709, 16.37731
Soviet War Memorial, 48.201611, 16.37425
Museum of Illusions, 48.209652, 16.366758
Heldenplatz, 48.20636, 16.363174
Spittelberg Quarter, 48.20293, 16.35684
Jewish Museum Vienna (Judisches Museum der Stadt Wien), 48.207165, 16.3692
Vienna Naschmarkt, 48.196949, 16.3592
Praterstern, 48.216919, 16.39255
Wiener Konzerthaus, 48.200935, 16.377678
Anker Clock, 48.210869, 16.37347
Dorotheum, 48.266747, 16.398441
Riesenrad, 48.216663, 16.395899
Trinitarierkirche zum Heiligen Franz von Assisi, 48.224388, 16.406
Vienna Coffeehouse Conversations, 48.210049, 16.381969
Vienna Museum, 48.199203, 16.372997
Meinl am Graben, 48.209412, 16.368311
Russian Orthodox Cathedral of St. Nicholas, 48.197361, 16.385019
Palmenhaus Schoenbrunn, 48.184273, 16.302732
Ernst Happel Stadion, 48.207691, 16.41971
Madame Tussauds Vienna, 48.217403, 16.396458
Otto Wagner Pavillon Karlsplatz, 48.200249, 16.37118
Alte Donau, 48.199738, 16.359652
Globe Museum of the Austrian National Library, 48.209435, 16.365784
Postsparkasse, 48.209969, 16.381189
Wiener Strassenbahnmuseum (Street Car Museum), 48.196857, 16.407183
Mozart Statue, 48.20504, 16.36685
Schwarzenbergplatz, 48.198654, 16.37586
Ronacher, 48.205128, 16.375023
St. Mary's on the Bank (Maria Am Gestade), 48.21299, 16.37005
Vienna University of Economics and Business, 48.214722, 16.406281
Clock Museum (Uhrenmuseum), 48.210785, 16.369165
Secession Building (Secessionsgebaude), 48.20039, 16.3659
Twin City Liner, 48.212399, 16.376659
Ernst Fuchs Museum, 48.209824, 16.25563
Freyung, 48.211716, 16.365381
Winter Palace of Prince Eugene, 48.205471, 16.372931
United Nations Complex, 48.234829, 16.416861
Casino Wien, 48.204559, 16.370813
Beethoven Statue, 48.20208, 16.37665
Austria Center Vienna, 48.234978, 16.413605
Silberkammer, 48.207924, 16.366217
District Heating Plant Spittelau, 48.233711, 16.360229
Cemetery of St. Marx (Friedhof St. Marx), 48.183136, 16.404118
Capuchin Church (Kapuzinerkirche), 48.206619, 16.37108
Burgtor, 48.204319, 16.363029
Augarten, 48.21917, 16.37995
Palais Schonborn-Batthyany, 48.211971, 16.366489
Church of the Teutonic Order, 48.207359, 16.3738
St. Rupert's Church (Ruprechtskirche), 48.21199, 16.37462
Volkstheater, 48.204994, 16.357779
Wiener Eistraum, 48.208981, 16.357821
Schottenkirche, 48.21212, 16.36442
Raimund Theater, 48.192116, 16.339531
Turkenschanzpark, 48.237091, 16.33774
Minoritenplatz, 48.208862, 16.372383
Alt-Wiener-Schnapsmuseum, 48.177174, 16.335575
Schmetterlinghaus, 48.20533, 16.366417
Sigmund Freud Museum, 48.218513, 16.36301
Danube Canal (Donau Kanal), 48.206997, 16.442047
Chapel of St. Virgil, 48.208172, 16.37393
Schubert Statue, 48.204121, 16.38028
Neuer Markt, 48.20612, 16.370745
Haas Haus, 48.208172, 16.37393
Am Hof, 48.210838, 16.36726
Palais Ferstel, 48.210491, 16.36557
Imperial Crypt, 48.205502, 16.370279
Haydnhaus, 48.194382, 16.34524
Majolica House (Majolikahaus), 48.197418, 16.35918
Maltese Church, 48.20488, 16.37104
Franziskanerkirche, 48.206253, 16.37446
