address, lat, lng
DobraVaga Gallery, 46.051491, 14.50845
Republic Square (Trg Republike), 46.05154, 14.49969
Museum of Architecture and Design (MAO), 46.050812, 14.56347
Fish Square (Ribji trg), 46.05127, 14.50307
Church of the Sacred Heart of Jesus, 46.05127, 14.50307
St. Peter's Parish Church, 46.051998, 14.51769
St Florian's Church, 46.046329, 14.50816
Citizen of Emona Statue, 46.050789, 14.5028
LPP Buses, 46.074501, 14.48583
France Preseren statue, 46.05143, 14.50609
Plecnik's Covered Market, 46.051399, 14.509746
Embassy of the United States of America, 46.052502, 14.49872
The Jakopic Gallery, 46.04789, 14.50109
Znamenje svete Trojice, 46.050789, 14.5028
Sava River, 46.05127, 14.50307
Exhibition of torture devices, 46.05267, 14.51011
Castle Chapel of St George, 46.034519, 14.45058
J&B VINOTEKA Bianca Visintin SP, 46.053341, 14.50694
Urbanc Building, 46.051479, 14.50567
Fontana Evropa, 46.049191, 14.50416
National Museum of Slovenia - Metelkova, 46.055222, 14.516882
Pentagonal Tower, 46.048779, 14.50891
Cheese & Deli Shop Gligora, 46.050911, 14.50718
St. Bartholomew's Church, 46.05127, 14.50307
Kolezija Swimming Pool, 46.042229, 14.49368
Trnovski Pristan Embankment, 46.04213, 14.50768
Jewish Cultural Center Museum, 46.046551, 14.50427
Koseze Pond, 46.06702, 14.47052
Marijin steber, 46.045971, 14.50715
Cerkev sv. Janeza Krstnika, 46.042931, 14.50181
International Centre of Graphic Arts (MGLC), 46.054642, 14.49293
Miklosicev Park, 46.054249, 14.50654
Roznik Hill, 46.05582, 14.47692
City Art Gallery, 46.04945, 14.50668
Tobacco 001, 46.047691, 14.493
Skuc Gallery, 46.047009, 14.50673
Levstikov trg Square, 46.045971, 14.50715
Slovenski solski muzej, 46.050259, 14.50235
Spomenik Edvardu Kardelju, 46.051029, 14.50133
Slovenia School Museum, 46.050259, 14.50235
Zupnijska cerkev Sv. Cirila in Metoda, 46.066891, 14.50738
Saint Ulrich's Church, 46.05127, 14.50307
Kucha (#restaurant), 46.075829, 14.50857
Restavracija Veliki Hong Kong (#restaurant), 46.101768, 14.51931
Picerija da Mattia (#restaurant), 46.128181, 14.55776
Restavracija Fresco (#restaurant), 46.055592, 14.50486
Gostilna Florjanckov Hram (#restaurant), 46.09399, 14.51568
Rostilj (#restaurant), 46.051777, 14.505156
Promenada (#restaurant), 46.051659, 14.507707
Via Bona (#restaurant), 46.037891, 14.478856
Dubocica (#restaurant), 46.054756, 14.530036
Hitra Zlica (#restaurant), 46.053959, 14.50638
Gostilnica Vinka (#restaurant), 46.080364, 14.512818
Kratochwill (#restaurant), 46.064499, 14.543807
Pizzeria Laterna (#restaurant), 46.042267, 14.479211
Kult316 (#restaurant), 46.096092, 14.467634
Origano (#restaurant), 46.04137, 14.460843
Roza Slon (#restaurant), 46.057636, 14.508874
Slovenska Hisa - Figovec (#restaurant), 46.054371, 14.504447
Kitajski vrt (#restaurant), 46.08004, 14.47299
Gostilna Stari Tisler (#restaurant), 46.05571, 14.5094
Picerija Etna (#restaurant), 46.073059, 14.45006
Operna Klet (#restaurant), 46.052345, 14.50129
Gostilna Mihovec (#restaurant), 46.140366, 14.428639
Bikofe (#restaurant), 46.048489, 14.50457
Namaste Indian Express (#restaurant), 46.05249, 14.5098
Han (#restaurant), 46.067921, 14.545981
Spirit Bar & Kitchen (#restaurant), 46.044079, 14.50651
Gostilna Tavcar (#restaurant), 46.075371, 14.559369
